date,gdp,unemp,ygap_hp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,lpcom,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad
1969,1005.324287,3.4,1.626785866,6.5667,4.132,1332.281181,1396.526588,1754.950533,468.0787732,382.4851616,26.01,4.651519239,,,,,,-0.24526549,-0.246049,-0.2274091,-0.184388582,,,,,,,,,,,,,,,,
1969.25,1005.414643,3.4333,1.138910676,8.3267,5.076,1331.224297,1397.215151,1755.255848,469.365714,381.6766824,25.325,4.697053859,,,,,,0.58851657,0.5906745,0.6749188,0.534632007,,,,,,,,,,,,,,,,
1969.5,1005.758109,3.5667,1.028049591,8.9833,5.584,1331.567763,1397.359611,1755.205805,470.0962068,381.7382601,25.1375,4.725658449,,,,,,0.51913821,0.519298,0.4843627,0.521231729,,,,,,,,,,,,,,,,
1969.75,1005.026828,3.5667,-0.212717655,8.94,5.124,1327.711228,1398.209392,1755.194452,471.4221881,381.3174573,25.0025,4.737448925,,,,,,0.14714671,0.1479118,0.1658559,0.153874488,,,,,,,,,,,,,,,,
1970,1004.602824,4.1667,-1.101439588,8.5733,5.596,1324.470136,1398.761005,1754.644178,471.8802397,381.5798408,26.06,4.758229955,,,,,,-0.65963701,-0.6605632,-0.5745371,-0.578449691,,,,,,,,,,,,,,,,
1970.25,1004.468325,4.7667,-1.693401842,7.88,5.536,1324.335637,1398.820492,1753.088329,470.4816406,383.0943093,27.835,4.745066006,,,,,,-0.02406602,-0.0259126,-0.0259718,0.013839502,,,,,,,,,,,,,,,,
1970.5,1005.013875,5.1667,-1.508211859,6.7033,3.264,1324.881187,1399.559653,1752.349654,470.0780321,384.6182303,29.2075,4.724161177,,,,,,-0.99756538,-1.001679,-0.9256776,-0.958174688,,,,,,,,,,,,,,,,
1970.75,1003.631245,5.8333,-3.319857405,5.5667,5.244,1318.476581,1399.902857,1752.081733,470.494312,383.7579592,29.125,4.69235525,,,,,,-0.58402335,-0.5805882,-0.5999238,-0.678920747,,,,,,,,,,,,,,,,
1971,1005.967901,5.9333,-1.379094497,3.8567,6.064,1329.04834,1399.34635,1751.750668,468.6243132,386.6230344,30.3525,4.689267731,,,,,,-0.77179544,-0.772168,-0.8935021,-0.754885584,,,,,,,,,,,,,,,,
1971.25,1006.249783,5.9,-1.583875576,4.5633,5.236,1330.898883,1399.823737,1751.669251,468.5477474,386.9595556,30.4075,4.690258994,,,,,,0.8060988,0.8077134,0.877007,0.719257152,,,,,,,,,,,,,,,,
