date,gdp,inv,cons,lab,unemp,lab_share,ffr,infl,lab_prod,tfp,lpcom,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad
1955,970.1248962,1295.549193,1364.477063,1754.897438,4.7333,467.9990048,0.335825,0.481,346.4954347,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.25,971.3355574,1300.175746,1364.909511,1755.983429,4.4,468.160331,0.375,0.414,346.7858648,-0.165,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.5,972.2205455,1302.173918,1364.813137,1757.418368,4.1,468.5431331,0.485,0.702,347.1935396,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.75,972.3343623,1303.752963,1365.712812,1758.314075,4.2333,468.825135,0.589175,0.977,346.8824877,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,971.5228403,1300.363029,1365.681021,1757.114115,4.0333,470.665219,0.620825,1.005,345.6442856,-0.6475,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.25,971.938441,1298.131972,1365.707516,1756.961424,4.2,471.4822479,0.673325,0.596,346.0974586,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.5,971.389966,1297.583497,1365.548147,1756.938404,4.1333,471.7435806,0.7025,1.242,346.1037382,0.3925,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.75,972.5138096,1297.162909,1366.087763,1756.341254,4.1333,471.7382177,0.731675,0.413,347.1593712,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,972.7346855,1296.993921,1365.720978,1756.351573,3.9333,470.8908386,0.733325,1.35,348.2961683,2.025,,,,,,,,,,,,,,,,,,,,,,,,,,
1957.25,972.1005983,1295.575516,1365.674551,1754.947682,4.1,471.6738394,0.75,0.701,347.9207255,3.545,,,,,,,,,,,,,,,,,,,,,,,,,,
1957.5,972.6213237,1295.305723,1366.585141,1754.135497,4.2333,471.0727682,0.808325,0.601,349.3411866,4.655,,,,,,,,,,,,,,,,,,,,,,,,,,
1957.75,971.1418644,1287.266536,1367.032524,1752.48765,4.9333,471.8338144,0.813325,0.06,349.6598466,6.8825,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,968.1343502,1279.929341,1366.289257,1750.064797,6.3,472.8891113,0.465825,1.077,348.2654473,7.2075,,,,,,,,,,,,,,,,,,,,,,,,,,
1958.25,968.4086988,1277.512944,1366.936045,1749.801974,7.3667,471.7283848,0.235,0.284,350.2158233,7.4675,,,,,,,,,,,,,,,,,,,,,,,,,,
1958.5,970.259461,1283.373152,1367.665301,1750.54756,7.3333,471.6496869,0.330825,0.606,352.0667882,7.3875,,,,,,,,,,,,,,,,,,,,,,,,,,
1958.75,972.1125995,1290.333784,1367.812237,1751.158619,6.3667,469.9243237,0.540825,0.468,353.7416825,7.485,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,973.5542162,1294.638581,1368.870711,1752.166782,5.8333,470.3367104,0.6425,0.268,353.8114702,6.5625,4.607473627,,,,,,,,,,,,,,,,,,,,,,,,,
1959.25,975.574132,1300.223231,1369.926299,1753.163443,5.1,469.7740251,0.770825,0.146,354.9904702,6.665,4.636562628,,,,,,,,,,,,,,,,,,,,,,,,,
1959.5,974.9520189,1295.632343,1370.651656,1752.039985,5.2667,470.1752284,0.894175,0.372,354.7920546,7.3925,4.623370106,,,,,,,,,,,,,,,,,,,,,,,,,
1959.75,974.9053499,1295.179994,1371.556469,1752.346639,5.6,470.8051631,0.9975,0.393,354.6191987,8.36,4.606841697,,,,,,,,,,,,,,,,,,,,,,,,,
1960,976.3075399,1302.883481,1371.046555,1750.277388,5.1333,470.5259835,0.983325,0.409,356.9110072,9.935,4.596798897,,,,,,,,,,,,,,,,,,,,,,,,,
1960.25,975.574132,1295.848776,1372.035678,1752.4234,5.2333,472.3059883,0.924175,0.264,355.5490908,9.8375,4.614125967,,,,,,,,,,,,,,,,,,,,,,,,,
1960.5,975.4000979,1294.035361,1371.481415,1752.011216,5.5333,472.2259648,0.734175,0.361,355.8372056,10.1775,4.605370943,,,,,,,,,,,,,,,,,,,,,,,,,
1960.75,973.7314897,1284.190158,1371.886397,1750.477602,6.2667,473.5663217,0.574175,0.308,354.610548,11.03,4.578822812,,,,,,,,,,,,,,,,,,,,,,,,,
1961,974.0144754,1283.572236,1372.169382,1749.997163,6.8,473.0709729,0.500825,0.216,355.8856187,10.8875,4.600801433,,,,,,,,,,,,,,,,,,,,,,,,,
1961.25,975.4755499,1288.589241,1372.88139,1749.953942,7,471.4481885,0.433325,0.244,358.7012828,11.625,4.614616364,,,,,,,,,,,,,,,,,,,,,,,,,
1961.5,976.7094928,1293.678051,1372.79081,1748.742404,6.7667,470.7501117,0.420825,0.26,360.0731067,12.0875,4.60092499,,,,,,,,,,,,,,,,,,,,,,,,,
